run,target,signal,orientation,eval_rows,base_regret_rate,auroc,average_precision,top_k,topk_realized_regret,topk_lift,features
llada_math500,early_trace_regret,margin,inverted,78400,0.4868877551020408,0.8758081815345916,0.8175208487862013,100,0.72,1.4787802577805722,margin
llada_math500,early_trace_regret,kl,raw,78400,0.4868877551020408,0.5519472345548221,0.4861877866613795,100,0.19,0.3902336791365399,kl
llada_math500,early_trace_regret,top1_flip,raw,78400,0.4868877551020408,0.5722128770649444,0.5374138374984991,100,0.65,1.3350099549407943,top1_flip
llada_math500,early_trace_regret,runlength,inverted,78400,0.4868877551020408,0.6875438227634288,0.6359373121572511,100,0.56,1.150162422718223,runlength
llada_math500,early_trace_regret,right_boundary_nearness,raw,78400,0.4868877551020408,0.6107472605379141,0.5777441907197531,100,0.61,1.252855496175207,right_boundary_nearness
llada_math500,early_trace_regret,edge_boundary_nearness,raw,78400,0.4868877551020408,0.5027398472815816,0.4957971496497091,100,0.37,0.7599287435816829,edge_boundary_nearness
llada_countdown,all_trace_regret,learned_trace_predictor,raw,105600,0.27554924242424245,0.984905793414118,0.9481610303631709,100,0.99,3.592824249089284,"confidence,entropy,margin,kl,top1_flip,runlength,t_frac,local_mask_ratio,context_volatility"
llada_countdown,all_trace_regret,confidence,inverted,105600,0.27554924242424245,0.969857098502961,0.8952574270378325,100,0.94,3.4113684789332597,confidence
llada_countdown,all_trace_regret,entropy,raw,105600,0.27554924242424245,0.5,0.27554924242424245,100,0.85,3.084748092652416,entropy
llada_countdown,all_trace_regret,margin,inverted,105600,0.27554924242424245,0.9554400503283837,0.8200819598321676,100,0.67,2.431507320090728,margin
llada_countdown,all_trace_regret,kl,raw,105600,0.27554924242424245,0.5568145979611191,0.2908814789655165,100,0.51,1.8508488555914495,kl
llada_countdown,all_trace_regret,top1_flip,raw,105600,0.27554924242424245,0.5556644328598221,0.3260231252148303,100,0.54,1.9597223176850642,top1_flip
llada_countdown,all_trace_regret,runlength,inverted,105600,0.27554924242424245,0.8360381206378676,0.5570333134077701,100,0.03,0.10887346209361466,runlength
llada_countdown,all_trace_regret,right_boundary_nearness,inverted,105600,0.27554924242424245,0.8339283194036309,0.5792712206991177,100,0.55,1.9960134717162692,right_boundary_nearness
llada_countdown,all_trace_regret,edge_boundary_nearness,inverted,105600,0.27554924242424245,0.5056620660272253,0.2913471466070525,100,0.46,1.669393085435425,edge_boundary_nearness
llada_countdown,early_trace_regret,learned_trace_predictor,raw,78400,0.33895408163265306,0.9862052699564823,0.9644455562498383,100,0.99,2.9207496048769475,"confidence,entropy,margin,kl,top1_flip,runlength,t_frac,local_mask_ratio,context_volatility"
llada_countdown,early_trace_regret,confidence,inverted,78400,0.33895408163265306,0.9723687315398782,0.9215568452364237,100,0.94,2.773236998570031,confidence
llada_countdown,early_trace_regret,entropy,raw,78400,0.33895408163265306,0.5,0.33895408163265306,100,0.85,2.507714307217581,entropy
llada_countdown,early_trace_regret,margin,inverted,78400,0.33895408163265306,0.9545525376667016,0.8483045412185889,100,0.83,2.4487092646948145,margin
llada_countdown,early_trace_regret,kl,raw,78400,0.33895408163265306,0.5470395535999194,0.3489182561766494,100,0.51,1.5046285843305487,kl
llada_countdown,early_trace_regret,top1_flip,raw,78400,0.33895408163265306,0.5586457473351665,0.397020532127025,100,0.79,2.3306991796492813,top1_flip
llada_countdown,early_trace_regret,runlength,inverted,78400,0.33895408163265306,0.8669455727599497,0.667247437794327,100,0.76,2.2421916158651314,runlength
llada_countdown,early_trace_regret,right_boundary_nearness,inverted,78400,0.33895408163265306,0.8775282192196047,0.7326623048641163,100,0.7,2.0651764882968315,right_boundary_nearness
llada_countdown,early_trace_regret,edge_boundary_nearness,raw,78400,0.33895408163265306,0.5290955722468887,0.3690888718492308,100,0.29,0.8555731165801158,edge_boundary_nearness
illada_gsm8k,all_trace_regret,learned_trace_predictor,raw,105600,0.46396780303030305,0.8947306339267165,0.8506286763104236,100,0.93,2.004449433615675,"confidence,entropy,margin,kl,top1_flip,runlength,t_frac,local_mask_ratio,context_volatility"
illada_gsm8k,all_trace_regret,confidence,inverted,105600,0.46396780303030305,0.8936011870574521,0.8520950580353739,100,0.93,2.004449433615675,confidence
illada_gsm8k,all_trace_regret,entropy,raw,105600,0.46396780303030305,0.5,0.46396780303030305,100,0.0,0.0,entropy
illada_gsm8k,all_trace_regret,margin,inverted,105600,0.46396780303030305,0.8759099702446883,0.7990780435645158,100,0.67,1.444065720991938,margin
illada_gsm8k,all_trace_regret,kl,raw,105600,0.46396780303030305,0.5495320433244203,0.45657056969367443,100,0.14,0.30174507602816614,kl
illada_gsm8k,all_trace_regret,top1_flip,raw,105600,0.46396780303030305,0.5783945070855744,0.5202149919511104,100,0.68,1.4656189407082356,top1_flip
illada_gsm8k,all_trace_regret,runlength,inverted,105600,0.46396780303030305,0.6137360592823444,0.5647551670684081,100,0.38,0.819022349219308,runlength
illada_gsm8k,all_trace_regret,right_boundary_nearness,raw,105600,0.46396780303030305,0.6855388108867397,0.6061202880404799,100,0.65,1.4009592815593428,right_boundary_nearness
illada_gsm8k,all_trace_regret,edge_boundary_nearness,raw,105600,0.46396780303030305,0.5897511569869995,0.5448537080512528,100,0.51,1.0992142055311767,edge_boundary_nearness
illada_gsm8k,early_trace_regret,learned_trace_predictor,raw,78400,0.525420918367347,0.8798940593232252,0.861121217163283,100,0.94,1.7890418274949627,"confidence,entropy,margin,kl,top1_flip,runlength,t_frac,local_mask_ratio,context_volatility"
illada_gsm8k,early_trace_regret,confidence,inverted,78400,0.525420918367347,0.8793805084269033,0.8626817766418269,100,0.92,1.7509771077610274,confidence
illada_gsm8k,early_trace_regret,entropy,raw,78400,0.525420918367347,0.5,0.525420918367347,100,0.0,0.0,entropy
illada_gsm8k,early_trace_regret,margin,inverted,78400,0.525420918367347,0.8583074325666512,0.8134783159413763,100,0.82,1.5606535090913503,margin
illada_gsm8k,early_trace_regret,kl,raw,78400,0.525420918367347,0.5477700450069631,0.5160118070771362,100,0.22,0.41871191707328914,kl
illada_gsm8k,early_trace_regret,top1_flip,raw,78400,0.525420918367347,0.5700078157372523,0.5721811270426919,100,0.67,1.2751681110868351,top1_flip
illada_gsm8k,early_trace_regret,runlength,inverted,78400,0.525420918367347,0.5848043696713274,0.5989049975886698,100,0.56,1.0658121525501907,runlength
illada_gsm8k,early_trace_regret,right_boundary_nearness,raw,78400,0.525420918367347,0.7873598865381377,0.7705877304966418,100,0.85,1.6177505886922534,right_boundary_nearness
illada_gsm8k,early_trace_regret,edge_boundary_nearness,raw,78400,0.525420918367347,0.6239204531392983,0.6413322257949529,100,0.78,1.4845240696234798,edge_boundary_nearness
